#Run Subrun PIN RMS
#------------------
109769 100  1003 178.00
109769 101  1000 178.83
109769 102  1006 180.09
109769 103  1002 177.89
109769 104   999 178.91
109769 105  1005 178.00
109769 106  1001 178.50
109769 107  1001 179.51
109769 108  1000 179.54
109769 109  1003  17.00
109769 110  1003 177.84
109769 111  1004 179.96
109769 112  1007 177.73
109769 113  1002 180.22
109769 114  1003 178.38
109769 115  1002 178.82
109769 116  1001 178.97
109769 117  1004 179.02
109769 118  1000 179.39
109769 119  1007 179.37
109769 120  1001 179.50
109769 121  1004 178.16
109769 122  1000 179.41
109769 123   998 179.15
109769 124   998 177.86
109769 125  1002 178.96
109769 126  1001 179.78
109769 127  1003 179.51
109769 128  1002 179.25
109769 129  1003 179.72
109769 130   999 179.95
109769 131  1002 178.63
109769 132   998 178.00
109769 133  1003 178.88
109769 134  1000   1.00
109769 135   999 179.78
109769 136  1001 179.55
109769 137  1004 179.98
109769 138  1008 179.21
109769 139  1007 179.75
109769 140   998 180.00
109769 141  1003 178.78
109769 142  1006 179.02
109769 143  1007 179.46
109769 144  1005 180.81
109769 145  1000 178.53
109769 146  1001 177.93
109769 147   999 179.07
109769 148  1003 180.39
109769 149  1001 179.04
109769 150   999 178.53
109769 151  1002 180.55
109769 152  1001 180.89
109769 153  1003 180.00
109769 154  1003 179.70
109769 155  1002 179.64
109769 156  1004 179.93
109769 157  1002 178.84
109769 158  1002 178.71
109769 159  1005 178.98
109769 160  1006 179.03
109769 161  1004 178.93
109769 162  1001 179.40
109769 163  1005 180.17
109769 164  1005 179.02
109769 165  1001 179.63
109769 166  1002 179.03
109769 167  1004 178.87
109769 168  1004 180.00
109769 169  1003 179.19
109769 170  1001 180.53
109769 171  1003 178.39
109769 172  1000 180.12
109769 173  1002 179.62
109769 174  1003 179.03
109769 175  1003 180.92
109769 176  1002 179.25
109769 177  1003 178.73
109769 178  1002 179.64
109769 179  1003 180.10
109769 180  1002 180.06
109769 181  1004 180.33
109769 182  1003 179.83
109769 183  1004 179.32
109769 184  1004 178.08
109769 185   998 179.17
109769 186   998 178.88
109769 187  1000 179.50
109769 188   999 179.79
109769 189  1001 179.50
109769 190   997 179.72
109769 191  1002 179.51
109769 192  1005 179.09
109769 193  1005 179.79
109769 194  1000 179.41
109769 195  1002 178.15
109769 196  1007 179.05
109769 197  1001 180.50
109769 198  1004 180.11
109769 199  1000 178.61
109770   0  1189 181.04
109770   1  1200 179.93
109770   2  1194 179.90
109770   3  1197 179.98
109770   4  1196 181.68
109770   5  1197 180.06
109770   6  1203 181.17
109770   7  1198 178.71
109770   8  1200 179.16
109770   9  1194 181.02
109770  10  1197 181.10
109770  11  1199 181.70
109770  12  1201 180.08
109770  13  1199 181.06
109770  14  1196 180.72
109770  15  1202 179.97
109770  16  1200 179.21
